 #  r/R [-]           chord [m]        beta [deg]          Area [m^2]      dT/dr [N/m]      dQ/dr [N*m/m]
    0.2411300000      0.1258375000     51.5480000000      0.0016283209    127.6498137781    164.1261949380
    0.2563000000      0.1285500000     49.8180000000      0.0016989458    145.8638510425    176.3835195443
    0.2714600000      0.1309250000     48.1560000000      0.0017617885    164.8039314695    188.0816202451
    0.2866100000      0.1329500000     46.5590000000      0.0018160017    184.2813681014    199.0850177035
    0.3017700000      0.1346750000     45.0250000000      0.0018627064    204.1732085501    209.3771066023
    0.3169100000      0.1360750000     43.5730000000      0.0019010794    224.2199340828    218.7988560267
    0.3320600000      0.1372125000     42.1590000000      0.0019322427    244.3418142514    227.4036755809
    0.3472000000      0.1380750000     40.8030000000      0.0019396432    264.2983879467    235.0802921698
    0.3623400000      0.1387000000     39.5010000000      0.0019370430    283.9752315947    241.8592181111
    0.3774900000      0.1390875000     38.2790000000      0.0019329469    303.1926084527    247.6984542946
    0.3926200000      0.1392750000     37.0780000000      0.0019174842    321.8265133440    252.6235008092
    0.4077600000      0.1392625000     35.9250000000      0.0018965629    339.7431420371    256.6302109201
    0.4229000000      0.1390625000     34.8180000000      0.0018707174    356.8057373649    259.7516619853
    0.4380400000      0.1387125000     33.7560000000      0.0018410902    372.9746737257    262.0380873515
    0.4531800000      0.1382000000     32.7350000000      0.0018075330    388.0913325330    263.4888601934
    0.4683200000      0.1375375000     31.7550000000      0.0017706093    402.0897644419    264.1471202334
    0.4834600000      0.1367500000     30.8130000000      0.0017310176    414.9523212378    264.0860955476
    0.4986000000      0.1358375000     29.9080000000      0.0016889879    426.5818908933    263.3347189056
    0.5137400000      0.1348000000     29.0140000000      0.0016400454    436.9227602906    261.9099442473
    0.5288900000      0.1336750000     28.1760000000      0.0015943263    446.0470981792    259.9322844332
    0.5440300000      0.1324375000     27.3700000000      0.0015467903    453.8229214781    257.3762490819
    0.5591700000      0.1311000000     26.5600000000      0.0014980888    460.2694322908    254.3065160918
    0.5743200000      0.1296750000     25.8120000000      0.0014484963    465.3930041063    250.7792121156
    0.5894600000      0.1281500000     25.0920000000      0.0013978438    469.1455510572    246.8060201895
    0.6046100000      0.1265500000     24.4030000000      0.0013473337    471.5952465020    242.4550186478
    0.6197600000      0.1248487500     23.7390000000      0.0012960765    472.6489985202    237.7127498861
    0.6349100000      0.1230637500     23.1010000000      0.0012445903    472.3753354084    232.6334498295
    0.6500500000      0.1211937500     22.4850000000      0.0011927183    470.7295031442    227.2313212550
    0.6652000000      0.1192400000     21.8690000000      0.0011375111    467.7454093412    221.5363157807
    0.6803500000      0.1172000000     21.2500000000      0.0010966283    463.4114574100    215.5561635646
    0.6955100000      0.1150600000     20.6940000000      0.0010572641    457.6876217974    209.2777454930
    0.7106600000      0.1128125000     20.1660000000      0.0010175983    450.4867036538    202.6820628846
    0.7258100000      0.1104637500     19.6550000000      0.0009767283    441.8580514584    195.8003252636
    0.7409600000      0.1080075000     19.0930000000      0.0009314414    431.7386324350    188.6158769761
    0.7561200000      0.1054162500     18.6150000000      0.0008881179    420.0605145199    181.0940042487
    0.7712700000      0.1026950000     18.1590000000      0.0008441651    406.7450400639    173.2068678102
    0.7864200000      0.0998412500     17.6470000000      0.0007959668    391.8390763879    164.9834389253
    0.8015800000      0.0968087500     17.2250000000      0.0007496891    375.1162649060    156.3305048153
    0.8167300000      0.0936125000     16.7500000000      0.0006997758    356.6654774970    147.2819107796
    0.8318900000      0.0902000000     16.3600000000      0.0006509727    336.2742808459    137.7502762929
    0.8470500000      0.0865762500     15.9150000000      0.0005987288    314.0001842434    127.7643699585
    0.8622000000      0.0826837500     15.5350000000      0.0005459164    289.7439083139    117.2743770210
    0.8773600000      0.0784912500     15.1510000000      0.0004931165    263.5122384319    106.2812080472
    0.8925200000      0.0739550000     14.7610000000      0.0004375802    235.4029500695     94.8044872997
    0.9076700000      0.0689975000     14.3890000000      0.0003808667    205.4554143029     82.8500573562
    0.9228300000      0.0635100000     14.0190000000      0.0003220967    173.8674768627     70.4591679145
    0.9379900000      0.0573637500     13.6410000000      0.0002627840    141.0323852226     57.7413110624
    0.9531500000      0.0502850000     13.3250000000      0.0002019173    107.3768796567     44.7857792238
    0.9683100000      0.0418312500     12.9950000000      0.0001397345     73.7394908496     31.7924314453
    0.9834700000      0.0309000000     12.6670000000      0.0000762483     41.2489303934     18.9357975845
    0.9910500000      0.0234387500     12.4980000000      0.0000438731     25.7406901304     12.4781503142
