 #  r/R [-]           chord [m]        beta [deg]          Area [m^2]      dT/dr [N/m]      dQ/dr [N*m/m]
    0.2411800000      0.1258375000     51.0000000000      0.0016283209    102.0721684542    135.0367174688
    0.2563500000      0.1285500000     49.2700000000      0.0016989458    116.2061257901    144.4771625699
    0.2715100000      0.1309250000     47.6080000000      0.0017617885    130.8676725614    153.4477708934
    0.2866600000      0.1329500000     46.0110000000      0.0018160017    145.9016650417    161.8461238329
    0.3018100000      0.1346750000     44.4770000000      0.0018627064    161.2124630932    169.6512497885
    0.3169600000      0.1360750000     43.0250000000      0.0019010794    176.6052633251    176.7659905318
    0.3321000000      0.1372125000     41.6110000000      0.0019322427    192.0009761920    183.1957802778
    0.3472500000      0.1380750000     40.2550000000      0.0019396432    207.2329616547    188.8914570123
    0.3623900000      0.1387000000     38.9530000000      0.0019370430    222.1826735727    193.8436443016
    0.3775200000      0.1390875000     37.7310000000      0.0019329469    236.7012548787    198.0272894776
    0.3926600000      0.1392750000     36.5300000000      0.0019174842    250.7334708501    201.4952839429
    0.4078000000      0.1392625000     35.3770000000      0.0018965629    264.1301629091    204.2173254353
    0.4229400000      0.1390625000     34.2700000000      0.0018707174    276.8049519080    206.2182544793
    0.4380700000      0.1387125000     33.2080000000      0.0018410902    288.7037433607    207.5456459249
    0.4532100000      0.1382000000     32.1870000000      0.0018075330    299.7134969999    208.2047712351
    0.4683500000      0.1375375000     31.2070000000      0.0017706093    309.7773456313    208.2369406535
    0.4834900000      0.1367500000     30.2650000000      0.0017310176    318.8737081843    207.6830124604
    0.4986300000      0.1358375000     29.3600000000      0.0016889879    326.9349087611    206.5831505066
    0.5137700000      0.1348000000     28.4660000000      0.0016400454    333.8956889682    204.9491749842
    0.5289100000      0.1336750000     27.6280000000      0.0015943263    339.8343619102    202.8752726727
    0.5440500000      0.1324375000     26.8220000000      0.0015467903    344.6166575941    200.3459122063
    0.5591900000      0.1311000000     26.0120000000      0.0014980888    348.2717457575    197.4217613633
    0.5743300000      0.1296750000     25.2640000000      0.0014484963    350.8234894188    194.1426438452
    0.5894800000      0.1281500000     24.5440000000      0.0013978438    352.2118286155    190.5197551910
    0.6046200000      0.1265500000     23.8550000000      0.0013473337    352.4787298839    186.6005194719
    0.6197700000      0.1248487500     23.1910000000      0.0012960765    351.6005196300    182.4055690500
    0.6349200000      0.1230637500     22.5530000000      0.0012445903    349.5806420265    177.9606465216
    0.6500600000      0.1211937500     21.9370000000      0.0011927183    346.4481121796    173.2846895633
    0.6652100000      0.1192400000     21.3210000000      0.0011375111    342.2013696506    168.3988211703
    0.6803600000      0.1172000000     20.7020000000      0.0010966283    336.8428897325    163.3146119466
    0.6955100000      0.1150600000     20.1460000000      0.0010572641    330.3407099643    158.0275039457
    0.7106600000      0.1128125000     19.6190000000      0.0010175983    322.6914040263    152.5358941535
    0.7258200000      0.1104637500     19.1070000000      0.0009767283    313.9263270715    146.8536513106
    0.7409700000      0.1080075000     18.5450000000      0.0009314414    304.0017067272    140.9668115447
    0.7561200000      0.1054162500     18.0670000000      0.0008881179    292.8911875910    134.8463897727
    0.7712700000      0.1026950000     17.6120000000      0.0008441651    280.6154307711    128.5068318423
    0.7864300000      0.0998412500     17.0990000000      0.0007959668    267.1570890907    121.9254461574
    0.8015800000      0.0968087500     16.6780000000      0.0007496891    252.4513350542    115.0649862759
    0.8167400000      0.0936125000     16.2020000000      0.0006997758    236.5451839771    107.9300152859
    0.8318900000      0.0902000000     15.8120000000      0.0006509727    219.3705193512    100.4704001629
    0.8470500000      0.0865762500     15.3670000000      0.0005987288    201.0372238634     92.7126970816
    0.8622000000      0.0826837500     14.9870000000      0.0005459164    181.4700608275     84.6021051934
    0.8773600000      0.0784912500     14.6040000000      0.0004931165    160.7950891569     76.1496067282
    0.8925200000      0.0739550000     14.2140000000      0.0004375802    139.1249480546     67.3716510255
    0.9076700000      0.0689975000     13.8410000000      0.0003808667    116.6211826232     58.2858636466
    0.9228300000      0.0635100000     13.4710000000      0.0003220967     93.5506259287     48.9264457091
    0.9379900000      0.0573637500     13.0940000000      0.0002627840     70.3523919847     39.3981893682
    0.9531500000      0.0502850000     12.7770000000      0.0002019173     47.6292324509     29.8044325240
    0.9683100000      0.0418312500     12.4470000000      0.0001397345     26.4173033297     20.3571222855
    0.9834700000      0.0309000000     12.1190000000      0.0000762483      8.5086684919     11.3432270905
    0.9910500000      0.0234387500     11.9510000000      0.0000438731      1.8911138164      7.0715315747
