#r_R	 Cd
0.40192926 0.09638928
0.40797038 0.09424112
0.41401150 0.09225131
0.42005262 0.09041983
0.42609373 0.08860829
0.43213485 0.08654465
0.43817597 0.08412242
0.44421709 0.08153888
0.45025821 0.07901312
0.45629933 0.07663370
0.46234045 0.07440904
0.46838156 0.07232560
0.47442268 0.07037341
0.48046380 0.06856528
0.48650492 0.06706556
0.49254604 0.06334658
0.49858716 0.06288247
0.50462828 0.06144827
0.51066939 0.05999781
0.51671051 0.05858553
0.52275163 0.05722145
0.52879275 0.05590648
0.53483387 0.05463828
0.54087499 0.05341277
0.54691611 0.05222444
0.55295722 0.05106645
0.55899834 0.04993064
0.56503946 0.04880782
0.57108058 0.04768840
0.57712170 0.04656374
0.58316282 0.04542812
0.58920394 0.04428109
0.59524506 0.04312943
0.60128617 0.04198766
0.60732729 0.04087670
0.61336841 0.03982264
0.61940953 0.03886565
0.62545065 0.03821998
0.63149177 0.03634626
0.63753289 0.03590520
0.64357400 0.03523701
0.64961512 0.03458839
0.65565624 0.03397821
0.66169736 0.03340645
0.66773848 0.03286952
0.67377960 0.03236335
0.67982072 0.03188412
0.68586183 0.03142844
0.69190295 0.03099326
0.69794407 0.03057576
0.70398519 0.03017316
0.71002631 0.02978254
0.71606743 0.02940062
0.72210855 0.02902359
0.72814966 0.02864701
0.73419078 0.02826636
0.74023190 0.02788010
0.74627302 0.02750684
0.75231414 0.02739773
0.75835526 0.02552213
0.76439638 0.02536860
0.77043749 0.02477681
0.77647861 0.02412308
0.78251973 0.02350233
0.78856085 0.02298002
0.79460197 0.02258699
0.80064309 0.02231705
0.80668421 0.02214147
0.81272532 0.02202689
0.81876644 0.02194589
0.82480756 0.02187979
0.83084868 0.02181733
0.83688980 0.02175242
0.84293092 0.02168212
0.84897204 0.02160527
0.85501315 0.02152162
0.86105427 0.02143131
0.86709539 0.02133462
0.87313651 0.02123174
0.87917763 0.02112279
0.88521875 0.02100768
0.89125987 0.02088619
0.89730098 0.02075790
0.90334210 0.02062224
0.90938322 0.02047841
0.91542434 0.02032516
0.92146546 0.02015797
0.92750658 0.02002910
0.93354770 0.01982502
0.93958881 0.01963150
0.94562993 0.01942966
0.95167105 0.01921886
0.95771217 0.01899989
0.96375329 0.01877413
0.96979441 0.01854350
0.97583553 0.01831023
0.98187664 0.01807680
0.98791776 0.01784572
0.99395888 0.01761940
1.00000000 0.01740000
