#r_R	 Cl
0.40192926 0.77679885
0.40797038 0.77654029
0.41401150 0.77597113
0.42005262 0.77429580
0.42609373 0.77045305
0.43213485 0.76416740
0.43817597 0.75647238
0.44421709 0.74861302
0.45025821 0.74115023
0.45629933 0.73411446
0.46234045 0.72737232
0.46838156 0.72080126
0.47442268 0.71432991
0.48046380 0.70793258
0.48650492 0.70161473
0.49254604 0.69539941
0.49858716 0.68931623
0.50462828 0.68339275
0.51066939 0.67764763
0.51671051 0.67208592
0.52275163 0.66669640
0.52879275 0.66145208
0.53483387 0.65631492
0.54087499 0.65124674
0.54691611 0.64622866
0.55295722 0.64128996
0.55899834 0.63654219
0.56503946 0.63220345
0.57108058 0.62858604
0.57712170 0.62602352
0.58316282 0.62475048
0.58920394 0.62479998
0.59524506 0.62598948
0.60128617 0.62800092
0.60732729 0.63049326
0.61336841 0.63318350
0.61940953 0.63587663
0.62545065 0.63845921
0.63149177 0.64087855
0.63753289 0.64312128
0.64357400 0.64519698
0.64961512 0.64712720
0.65565624 0.64893877
0.66169736 0.65065995
0.66773848 0.65231819
0.67377960 0.65393896
0.67982072 0.65554496
0.68586183 0.65715579
0.69190295 0.65878774
0.69794407 0.66045405
0.70398519 0.66216588
0.71002631 0.66393450
0.71606743 0.66577589
0.72210855 0.66771970
0.72814966 0.66982646
0.73419078 0.67222065
0.74023190 0.67515598
0.74627302 0.67915273
0.75231414 0.68534953
0.75835526 0.69713879
0.76439638 0.78725572
0.77043749 0.69420798
0.77647861 0.71831249
0.78251973 0.73517430
0.78856085 0.74601564
0.79460197 0.75129307
0.80064309 0.75278719
0.80668421 0.75221827
0.81272532 0.75067925
0.81876644 0.74873475
0.82480756 0.74663933
0.83084868 0.74449164
0.83688980 0.74231883
0.84293092 0.74011806
0.84897204 0.73787583
0.85501315 0.73557642
0.86105427 0.73320528
0.86709539 0.73075010
0.87313651 0.72820086
0.87917763 0.72554950
0.88521875 0.72278952
0.89125987 0.71991545
0.89730098 0.71692246
0.90334210 0.71380586
0.90938322 0.71056051
0.91542434 0.70717965
0.92146546 0.70365136
0.92750658 0.69994190
0.93354770 0.69578471
0.93958881 0.69306536
0.94562993 0.68858559
0.95167105 0.68428150
0.95771217 0.67986148
0.96375329 0.67528770
0.96979441 0.67054430
0.97583553 0.66561988
0.98187664 0.66050404
0.98791776 0.65518626
0.99395888 0.64965551
1.00000000 0.64390000
