#r_R	 thickns
0.40192926 0.00486653
0.40797038 0.00486653
0.41401150 0.00486653
0.42005262 0.00486653
0.42609373 0.00486653
0.43213485 0.00486653
0.43817597 0.00486653
0.44421709 0.00486653
0.45025821 0.00486653
0.45629933 0.00486651
0.46234045 0.00486640
0.46838156 0.00486523
0.47442268 0.00479912
0.48046380 0.00491403
0.48650492 0.00572444
0.49254604 0.00473915
0.49858716 0.00475783
0.50462828 0.00474351
0.51066939 0.00471940
0.51671051 0.00469280
0.52275163 0.00466738
0.52879275 0.00464417
0.53483387 0.00462271
0.54087499 0.00460216
0.54691611 0.00458187
0.55295722 0.00456147
0.55899834 0.00454081
0.56503946 0.00451984
0.57108058 0.00449858
0.57712170 0.00447708
0.58316282 0.00445538
0.58920394 0.00443354
0.59524506 0.00441163
0.60128617 0.00438974
0.60732729 0.00436796
0.61336841 0.00434639
0.61940953 0.00432510
0.62545065 0.00430415
0.63149177 0.00428352
0.63753289 0.00426311
0.64357400 0.00424272
0.64961512 0.00422202
0.65565624 0.00420061
0.66169736 0.00417812
0.66773848 0.00415444
0.67377960 0.00413010
0.67982072 0.00410660
0.68586183 0.00408667
0.69190295 0.00407470
0.69794407 0.00407898
0.70398519 0.00411526
0.71002631 0.00408141
0.71606743 0.00394780
0.72210855 0.00392564
0.72814966 0.00392277
0.73419078 0.00392236
0.74023190 0.00392232
0.74627302 0.00392232
0.75231414 0.00392233
0.75835526 0.00392233
0.76439638 0.00392233
0.77043749 0.00392233
0.77647861 0.00392233
0.78251973 0.00392233
0.78856085 0.00392233
0.79460197 0.00392233
0.80064309 0.00392233
0.80668421 0.00392233
0.81272532 0.00392233
0.81876644 0.00392233
0.82480756 0.00392233
0.83084868 0.00392233
0.83688980 0.00392233
0.84293092 0.00392233
0.84897204 0.00392233
0.85501315 0.00392233
0.86105427 0.00392233
0.86709539 0.00392233
0.87313651 0.00392233
0.87917763 0.00392233
0.88521875 0.00392233
0.89125987 0.00392233
0.89730098 0.00392233
0.90334210 0.00392233
0.90938322 0.00392233
0.91542434 0.00392233
0.92146546 0.00392233
0.92750658 0.00392233
0.93354770 0.00392233
0.93958881 0.00392233
0.94562993 0.00392233
0.95167105 0.00392233
0.95771217 0.00392233
0.96375329 0.00392233
0.96979441 0.00392233
0.97583553 0.00392233
0.98187664 0.00392233
0.98791776 0.00392233
0.99395888 0.00392233
1.00000000 0.00392233
