# Cl	Cd	   AoA 	  Veff  	Ct  	Cq
0.8181 0.3613 27.4066 5.3791 -0.0001 -0.0000 
0.8162 0.3214 25.2444 5.6841 0.0009 0.0002 
0.8125 0.2859 23.2863 6.0584 0.0010 0.0003 
0.8069 0.2546 21.5292 6.4919 0.0012 0.0004 
0.7993 0.2277 20.0130 6.9705 0.0014 0.0005 
0.9968 0.2405 18.6840 7.4867 0.0020 0.0008 
0.9414 0.2122 17.5165 8.0334 0.0022 0.0008 
0.8947 0.1886 16.4611 8.6072 0.0025 0.0009 
0.8532 0.1685 15.5154 9.1986 0.0027 0.0010 
0.8153 0.1508 14.6452 9.8065 0.0029 0.0011 
0.7804 0.1355 13.8357 10.4280 0.0032 0.0012 
0.7757 0.1237 13.0693 11.0633 0.0036 0.0014 
0.7776 0.1146 12.3554 11.7055 0.0040 0.0016 
0.7779 0.1056 11.6832 12.3556 0.0044 0.0018 
0.7768 0.0964 11.0515 13.0125 0.0048 0.0020 
0.7707 0.0887 10.4606 13.6752 0.0052 0.0022 
0.7417 0.0792 9.9074 14.3456 0.0054 0.0023 
0.7151 0.0706 9.4011 15.0176 0.0055 0.0024 
0.6903 0.0631 8.9379 15.6934 0.0056 0.0025 
0.6678 0.0575 8.5178 16.3725 0.0057 0.0025 
0.6474 0.0525 8.1380 17.0573 0.0057 0.0026 
0.6295 0.0480 7.8039 17.7418 0.0057 0.0026 
0.6255 0.0435 7.5105 18.4287 0.0058 0.0027 
0.6349 0.0392 7.2558 19.1175 0.0061 0.0029 
0.6444 0.0355 7.0355 19.8111 0.0062 0.0030 
0.6516 0.0331 6.8508 20.5035 0.0064 0.0031 
0.6580 0.0312 6.6953 21.1973 0.0065 0.0032 
0.6648 0.0296 6.5645 21.8924 0.0065 0.0033 
0.6734 0.0281 6.4532 22.5888 0.0066 0.0033 
0.7069 0.0256 6.3538 23.2892 0.0070 0.0036 
0.7398 0.0233 6.2650 23.9877 0.0073 0.0039 
0.7518 0.0221 6.1798 24.6871 0.0074 0.0039 
0.7439 0.0218 6.0922 25.3873 0.0072 0.0038 
0.7350 0.0215 5.9950 26.0913 0.0069 0.0036 
0.7250 0.0211 5.8849 26.7931 0.0065 0.0034 
0.7133 0.0206 5.7552 27.4955 0.0060 0.0031 
0.6995 0.0200 5.6010 28.1985 0.0053 0.0028 
0.6839 0.0192 5.4173 28.9050 0.0045 0.0023 
0.6654 0.0183 5.2025 29.6092 0.0032 0.0017 
0.6439 0.0174 4.9563 30.3138 0.0000 0.0000 
