# r_R 	 r 	  c_R 	 c 	 twist
0.0670 0.0503 0.1304 0.0978 40.7332 
0.0909 0.0682 0.1304 0.0978 36.1680 
0.1148 0.0861 0.1304 0.0978 32.1813 
0.1388 0.1041 0.1304 0.0978 28.7130 
0.1627 0.1220 0.1304 0.0978 25.7072 
0.1866 0.1399 0.1304 0.0978 23.1120 
0.2105 0.1579 0.1304 0.0978 20.8794 
0.2345 0.1759 0.1304 0.0978 18.9651 
0.2584 0.1938 0.1304 0.0978 17.3284 
0.2823 0.2117 0.1304 0.0978 15.9321 
0.3062 0.2297 0.1304 0.0978 14.7424 
0.3302 0.2476 0.1304 0.0978 13.7285 
0.3541 0.2656 0.1304 0.0978 12.8629 
0.3780 0.2835 0.1304 0.0978 12.1208 
0.4019 0.3014 0.1304 0.0978 11.4803 
0.4258 0.3194 0.1304 0.0978 10.9220 
0.4498 0.3373 0.1304 0.0978 10.4292 
0.4737 0.3553 0.1297 0.0973 9.9874 
0.4976 0.3732 0.1275 0.0956 9.5842 
0.5215 0.3911 0.1252 0.0939 9.2097 
0.5455 0.4091 0.1229 0.0922 8.8554 
0.5694 0.4271 0.1207 0.0905 8.5150 
0.5933 0.4450 0.1184 0.0888 8.1837 
0.6172 0.4629 0.1161 0.0871 7.8583 
0.6412 0.4809 0.1139 0.0854 7.5368 
0.6651 0.4988 0.1116 0.0837 7.2187 
0.6890 0.5167 0.1093 0.0820 6.9043 
0.7129 0.5347 0.1071 0.0803 6.5952 
0.7368 0.5526 0.1051 0.0788 6.2936 
0.7608 0.5706 0.1051 0.0788 6.0023 
0.7847 0.5885 0.1051 0.0788 5.7250 
0.8086 0.6064 0.1051 0.0788 5.4656 
0.8325 0.6244 0.1051 0.0788 5.2281 
0.8565 0.6424 0.1051 0.0788 5.0168 
0.8804 0.6603 0.1051 0.0788 4.8361 
0.9043 0.6782 0.1051 0.0788 4.6901 
0.9282 0.6962 0.1051 0.0788 4.5827 
0.9522 0.7142 0.1051 0.0788 4.5171 
0.9761 0.7321 0.1051 0.0788 4.4964 
1.0000 0.7500 0.1051 0.0788 4.5226 
