 #  r/R [-]           chord [m]        beta [deg]          Area [m^2]      dT/dr [N/m]      dQ/dr [N*m/m]
    0.2403700000      0.1258375000     60.3700000000      0.0016283209     83.0953298842    147.1333762068
    0.2555400000      0.1285500000     58.6400000000      0.0016989458     94.3961027958    156.1296101997
    0.2707000000      0.1309250000     56.9780000000      0.0017617885    106.0828374903    164.6769975035
    0.2858600000      0.1329500000     55.3810000000      0.0018160017    118.0738052251    172.7363605706
    0.3010300000      0.1346750000     53.8470000000      0.0018627064    130.3424689676    180.3525427403
    0.3161900000      0.1360750000     52.3950000000      0.0019010794    142.7951519556    187.4601748586
    0.3313600000      0.1372125000     50.9810000000      0.0019322427    155.4310545363    194.1458481228
    0.3465200000      0.1380750000     49.6250000000      0.0019396432    168.1777123017    200.3760572232
    0.3616900000      0.1387000000     48.3230000000      0.0019370430    181.0301158248    206.2076604026
    0.3768600000      0.1390875000     47.1010000000      0.0019329469    193.9488472049    211.6397549228
    0.3920200000      0.1392750000     45.9000000000      0.0019174842    206.9339057717    216.7281559713
    0.4071900000      0.1392625000     44.7470000000      0.0018965629    219.9613058553    221.4973999582
    0.4223600000      0.1390625000     43.6400000000      0.0018707174    233.0189613473    225.9571990174
    0.4375200000      0.1387125000     42.5770000000      0.0018410902    246.1376788395    230.1828449645
    0.4526900000      0.1382000000     41.5570000000      0.0018075330    259.2891744636    234.1645057093
    0.4678600000      0.1375375000     40.5770000000      0.0017706093    272.4616228429    237.9172452409
    0.4830200000      0.1367500000     39.6350000000      0.0017310176    285.6869069734    241.4931884237
    0.4981900000      0.1358375000     38.7300000000      0.0016889879    298.9576330241    244.9099957663
    0.5133600000      0.1348000000     37.8350000000      0.0016400454    312.2446266002    248.1393234010
    0.5285300000      0.1336750000     36.9970000000      0.0015943263    325.6022392333    251.2608860133
    0.5436900000      0.1324375000     36.1910000000      0.0015467903    338.9368050489    254.2004104663
    0.5588600000      0.1311000000     35.3820000000      0.0014980888    352.2573221297    256.9833010351
    0.5740300000      0.1296750000     34.6330000000      0.0014484963    365.5397014012    259.5985778676
    0.5891900000      0.1281500000     33.9140000000      0.0013978438    378.6740332992    261.9852434662
    0.6043600000      0.1265500000     33.2240000000      0.0013473337    391.7035916903    264.1821959399
    0.6195200000      0.1248487500     32.5600000000      0.0012960765    404.4255873567    266.0786668878
    0.6346900000      0.1230637500     31.9220000000      0.0012445903    416.8070763215    267.6678766745
    0.6498600000      0.1211937500     31.3060000000      0.0011927183    428.7433986698    268.8922623361
    0.6650200000      0.1192400000     30.6890000000      0.0011375111    440.0956655386    269.6917409271
    0.6801900000      0.1172000000     30.0710000000      0.0010966283    450.7000768288    270.0040347631
    0.6953500000      0.1150600000     29.5140000000      0.0010572641    460.3407839034    269.7105204182
    0.7105200000      0.1128125000     28.9870000000      0.0010175983    468.7940200219    268.7385371640
    0.7256800000      0.1104637500     28.4750000000      0.0009767283    475.8705243202    267.0016001066
    0.7408500000      0.1080075000     27.9130000000      0.0009314414    481.3385331909    264.4360900835
    0.7560100000      0.1054162500     27.4350000000      0.0008881179    484.8070860984    260.8555062732
    0.7711800000      0.1026950000     26.9790000000      0.0008441651    486.0697034057    256.2297185384
    0.7863400000      0.0998412500     26.4670000000      0.0007959668    484.8329051352    250.4536842860
    0.8015100000      0.0968087500     26.0450000000      0.0007496891    480.6325068207    243.3578630683
    0.8166700000      0.0936125000     25.5690000000      0.0006997758    473.2620386931    234.9217283780
    0.8318400000      0.0902000000     25.1790000000      0.0006509727    462.2268093394    224.9809494241
    0.8470000000      0.0865762500     24.7330000000      0.0005987288    447.3243514647    213.5253421477
    0.8621700000      0.0826837500     24.3540000000      0.0005459164    428.1319368176    200.4422893889
    0.8773300000      0.0784912500     23.9700000000      0.0004931165    404.3833109044    185.7229464618
    0.8925000000      0.0739550000     23.5800000000      0.0004375802    375.9094170265    169.3715163028
    0.9076600000      0.0689975000     23.2070000000      0.0003808667    342.4876752534    151.4128785514
    0.9228300000      0.0635100000     22.8360000000      0.0003220967    304.0301054930    131.9006367719
    0.9379900000      0.0573637500     22.4590000000      0.0002627840    260.6998043363    111.0092459286
    0.9531500000      0.0502850000     22.1420000000      0.0002019173    212.5866768008     88.8708465606
    0.9683200000      0.0418312500     21.8110000000      0.0001397345    160.0629102614     65.7182369685
    0.9834800000      0.0309000000     21.4830000000      0.0000762483    102.8941621584     41.5213280059
    0.9910600000      0.0234387500     21.3140000000      0.0000438731     71.3107400368     28.5405176103
