#r_R	 twist
0.40192926 11.47956986
0.40797038 11.33140827
0.41401150 11.18820069
0.42005262 11.04967586
0.42609373 10.91557869
0.43213485 10.78568367
0.43817597 10.65983950
0.44421709 10.53807881
0.45025821 10.42039350
0.45629933 10.30536000
0.46234045 10.19238340
0.46838156 10.08215169
0.47442268 9.97468232
0.48046380 9.86976050
0.48650492 9.76717100
0.49254604 9.66672074
0.49858716 9.56823382
0.50462828 9.47154624
0.51066939 9.37650115
0.51671051 9.28294086
0.52275163 9.19067878
0.52879275 9.09929191
0.53483387 9.02130400
0.54087499 8.92297989
0.54691611 8.83486607
0.55295722 8.74787808
0.55899834 8.66172509
0.56503946 8.57628269
0.57108058 8.49146137
0.57712170 8.40718605
0.58316282 8.32339067
0.58920394 8.24001657
0.59524506 8.15701336
0.60128617 8.07434420
0.60732729 7.99200203
0.61336841 7.91003984
0.61940953 7.82855675
0.62545065 7.74751133
0.63149177 7.66665074
0.63753289 7.58582992
0.64357400 7.50508045
0.64961512 7.42446545
0.65565624 7.34402753
0.66169736 7.26379368
0.66773848 7.18378483
0.67377960 7.10402121
0.67982072 7.02452476
0.68586183 6.94532008
0.69190295 6.86643483
0.69794407 6.78789969
0.70398519 6.70974835
0.71002631 6.63201719
0.71606743 6.55474503
0.72210855 6.47797250
0.72814966 6.40174079
0.73419078 6.32608847
0.74023190 6.25103991
0.74627302 6.17653785
0.75231414 6.10056176
0.75835526 6.03176940
0.76439638 5.95946128
0.77043749 5.88843310
0.77647861 5.81846750
0.78251973 5.74958407
0.78856085 5.68184173
0.79460197 5.61535129
0.80064309 5.54642718
0.80668421 5.48558484
0.81272532 5.42300045
0.81876644 5.36179084
0.82480756 5.30204947
0.83084868 5.24379040
0.83688980 5.18635517
0.84293092 5.13377853
0.84897204 5.08031924
0.85501315 5.02910058
0.86105427 4.97987358
0.86709539 4.93266464
0.87313651 4.88753030
0.87917763 4.84453404
0.88521875 4.80374119
0.89125987 4.76521723
0.89730098 4.72902697
0.90334210 4.69523399
0.90938322 4.66390024
0.91542434 4.63508553
0.92146546 4.60884710
0.92750658 4.58523918
0.93354770 4.56431256
0.93958881 4.54611419
0.94562993 4.53068696
0.95167105 4.51806976
0.95771217 4.50829781
0.96375329 4.50140374
0.96979441 4.49741925
0.97583553 4.49637778
0.98187664 4.49831818
0.98791776 4.50328931
0.99395888 4.51135515
1.00000000 4.52260000
